1,397,70,423,200,2025-12-15T14:36:07.264556
2,762,159,416,200,2025-12-15T14:36:08.265262
3,342,33,575,200,2025-12-15T14:36:09.265659
4,793,120,582,200,2025-12-15T14:36:10.265906
5,333,20,356,200,2025-12-15T14:36:11.266247
6,521,8,260,200,2025-12-15T14:36:12.266752
7,311,180,60,200,2025-12-15T14:36:13.267085
8,951,3,490,200,2025-12-15T14:36:14.267374
9,192,199,371,200,2025-12-15T14:36:15.267861
10,403,149,320,200,2025-12-15T14:36:16.268195
11,968,22,420,200,2025-12-15T14:36:17.268474
12,159,135,58,200,2025-12-15T14:36:18.268721
13,323,106,401,200,2025-12-15T14:36:19.268985
14,335,180,105,200,2025-12-15T14:36:20.269382
15,423,162,153,200,2025-12-15T14:36:21.270007
16,464,29,415,200,2025-12-15T14:36:22.270658
17,896,93,220,200,2025-12-15T14:36:23.271247
18,856,75,427,200,2025-12-15T14:36:24.271725
19,297,181,21,200,2025-12-15T14:36:25.272128
20,10,106,85,200,2025-12-15T14:36:45.582913
21,830,135,574,200,2025-12-15T14:36:46.583150
22,279,112,450,200,2025-12-15T14:36:47.583495
